timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,flags,duration,action
01-06-2025 03:18,117.143.16.169,198.158.190.67,18120,53,17,1632,3966,32,0.53,flagged
01-06-2025 09:28,22.157.89.80,55.117.45.255,29061,53,17,1079,7688,48,0.81,allow
01-06-2025 18:34,49.15.152.255,40.142.111.200,32955,21,6,576,7252,48,0.45,allow
01-06-2025 16:38,119.166.12.174,182.192.15.85,57949,36596,17,41205,4556,0,0.66,flagged
01-06-2025 07:49,28.34.219.198,184.66.113.102,6572,443,6,1048,6588,2,0.5,allow
01-06-2025 22:55,179.26.97.174,228.42.234.177,63336,57375,17,14057,5245,16,1.53,flagged
01-06-2025 17:23,211.226.248.233,33.76.206.241,62714,32016,6,6263,7812,64,0.2,flagged
01-06-2025 10:41,193.224.42.251,157.239.20.199,6738,443,6,646,7908,16,0.81,allow
01-06-2025 06:52,57.169.187.245,135.181.169.39,49916,25,6,1968,1772,24,1.56,allow
01-06-2025 21:45,235.244.38.217,178.13.31.160,33036,22,6,779,4117,24,1.57,allow
01-06-2025 22:50,111.188.127.69,230.128.22.210,1984,22,6,1722,5900,0,1.99,allow
01-06-2025 04:00,219.21.224.5,176.225.211.159,51536,51334,6,33024,6960,2,2.27,flagged
01-06-2025 13:36,130.209.60.131,32.187.241.51,47109,17722,6,28369,1969,1,1.86,flagged
01-06-2025 05:22,41.72.200.61,166.166.212.22,4276,443,6,585,8726,48,0.83,flagged
01-06-2025 16:50,238.195.66.10,86.29.178.48,24251,53,6,1601,3816,1,1,allow
01-06-2025 10:31,12.167.166.148,103.171.137.222,8341,80,6,137,3210,32,1.64,allow
01-06-2025 20:19,29.49.255.52,38.86.64.72,33386,47865,17,7964,3395,48,2.61,flagged
01-06-2025 15:45,157.240.214.142,45.63.8.14,9761,22,6,1179,8416,1,1.39,allow
01-06-2025 13:56,8.35.113.197,125.121.18.155,57419,25,6,731,8743,32,0.75,allow
01-06-2025 19:27,107.62.243.66,118.86.22.55,24074,53,17,1769,9155,48,1.08,allow
01-06-2025 01:42,123.20.11.29,97.1.113.239,43367,443,6,310,1333,1,0.87,flagged
01-06-2025 16:55,204.170.86.202,38.191.22.222,50205,21,6,1891,295,1,1.5,allow
01-06-2025 07:58,237.134.219.178,252.250.121.97,32740,443,6,1266,3085,32,0.57,allow
01-06-2025 12:56,179.56.5.90,118.20.237.107,50174,21,17,1053,1589,16,1.97,allow
01-06-2025 14:18,58.25.61.97,248.102.194.147,33537,25,17,458,7842,24,0.41,allow
01-06-2025 09:18,118.134.250.99,201.216.62.118,16013,53,6,360,3590,1,1.63,allow
01-06-2025 13:25,82.220.240.111,142.13.20.213,23987,53,17,1189,8081,1,0.6,allow
01-06-2025 23:47,50.50.99.52,60.44.142.129,14041,443,6,1280,4006,64,1.28,allow
01-06-2025 19:16,55.243.177.43,138.5.135.234,18548,34215,6,33595,2991,1,0.83,flagged
01-06-2025 10:21,133.49.169.236,167.95.20.195,5779,22,6,1762,2492,48,0.11,allow
01-06-2025 14:21,29.87.171.225,236.3.13.31,19095,25,17,1197,6548,18,1.81,allow
01-06-2025 11:03,66.23.71.192,87.237.19.170,31859,1456,6,5691,4961,32,1.94,flagged
01-06-2025 09:01,54.62.151.78,213.249.184.15,18177,21,6,537,8033,2,0.65,allow
01-06-2025 18:46,90.223.247.69,164.253.188.174,53570,21,6,1547,655,48,0.14,allow
01-06-2025 18:35,118.207.107.135,144.29.113.147,5609,80,6,954,2882,2,1.02,allow
01-06-2025 03:19,163.224.135.235,21.250.110.215,52117,22,6,452,8901,64,2,flagged
01-06-2025 09:23,82.14.74.64,233.243.121.78,38819,443,6,926,5318,16,1.54,allow
01-06-2025 03:31,254.21.30.41,241.235.133.154,19002,22,6,484,4625,64,0.94,allow
01-06-2025 16:42,60.254.255.201,220.137.184.1,55311,22,6,307,8216,0,1.03,allow
01-06-2025 14:20,126.62.114.140,194.172.5.109,54843,35858,6,45345,5590,24,0.71,flagged
01-06-2025 09:57,155.141.8.38,155.234.112.130,15866,18214,17,41269,5182,0,2.68,flagged
01-06-2025 18:27,81.226.5.128,190.212.219.208,21667,21,17,1680,6175,16,0.98,allow
01-06-2025 21:20,200.147.74.160,152.173.45.166,1475,22,6,884,1541,2,0.71,allow
01-06-2025 09:34,121.122.129.203,236.254.17.46,50232,25,6,1634,5563,18,1.44,allow
01-06-2025 13:50,91.110.209.73,48.153.3.202,40118,22,6,779,6261,0,0.37,allow
01-06-2025 04:16,250.12.156.230,62.30.164.98,24413,80,6,368,7308,64,0.7,flagged
01-06-2025 11:01,219.219.90.38,13.207.52.148,56967,443,6,1596,1331,2,0.58,allow
01-06-2025 08:19,108.221.16.239,82.220.112.139,55088,443,6,739,8100,16,0.95,allow
01-06-2025 09:21,255.97.56.146,250.17.28.148,17010,25,17,1520,1900,64,0.67,allow
